,smiles,logP,qed,SAS
80,COc1cc(CC(C)C(C)Cc2ccc3c(c2)OCO3)ccc1O,0,0,0
81,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1,0,0,0
82,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,0,0,0
83,CC(=O)/C=C/c1ccccc1,0,0,0
84,CC[C@@H](N)C(=O)O,0,0,0
85,CC[C@H](N)C(=O)O,0,0,0
86,CCC(N)C(=O)O,0,0,0
87,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,0,0,0
88,Nc1ccc(C(=O)O)cc1,0,0,0
89,OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0,0,0
90,O=C(O)CCc1ccc(O)cc1,0,0,0
91,O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,0,0,0
92,O=C(O)c1cc(O)c2c(c1)[C@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,0,0,0
93,CCCSP(=O)(OCC)SCCC,0,0,0
94,CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,0,0,0
95,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,0,0,0
96,COc1cc(C(=O)C(O)CO)ccc1O,0,0,0
97,CC(=O)N[C@H]1[C@@H](O[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,0,0,0
98,CC(O)=NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(O)nc3=O)C(O)C2O)OC(CO)C(O)C1O,0,0,0
99,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,0,0,0
100,CC1OC(OC2C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,0,0,0
101,Cc1cc(Cl)ccc1O,0,0,0
102,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,0,0,0
103,FC(F)(F)c1cccc(N2CCNCC2)c1,0,0,0
104,CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,0,0,0
105,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0,0,0
106,Nc1c2c(nc3ccccc13)CCCC2,0,0,0
107,CCN(CC)CCNC(=O)c1ccc(N)cc1,0,0,0
108,O=C(O)C1CCCCN1,0,0,0
109,O=C(O)[C@@H]1CCCCN1,0,0,0
110,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0,0,0
111,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0,0,0
112,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,0,0,0
113,NCC(CC[C@H](N)C(=O)O)O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)C(O)[C@H]1O,0,0,0
114,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],0,0,0
115,Nc1nc2c(nc(O)n2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,0,0,0
