,smiles,logP,qed,SAS
83,O=C(O)CC[C@H](O)C(=O)O,0,0,0
84,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0,0,0
85,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0,0,0
86,CCCCCCCOC(=O)c1ccc(O)cc1,0,0,0
87,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,0,0,0
88,O=c1ccc2cccc(O)c2[nH]1,0,0,0
89,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,0,0,0
90,c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,0,0,0
91,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,0,0,0
92,CCCCCCCCCCCCCCCCCCCC(=O)O,0,0,0
93,CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,0,0,0
94,NC(N)=NCCCC(N)C(=O)O,0,0,0
95,C=CC(CCCCC)OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,0,0,0
96,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,0,0,0
97,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0,0,0
98,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,0,0,0
99,O=C(O)[C@H](O)[C@@H](O)C(=O)O,0,0,0
100,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,0,0,0
101,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,0,0,0
102,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,0,0,0
103,CCCCCCCCCCCCN1CCCCCC1=O,0,0,0
104,CCN(CC)CC(=O)Nc1c(C)ccc(O)c1C,0,0,0
105,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0,0,0
106,COC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,0,0,0
107,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)N3CCc4c([nH]c5ccccc45)C3CC21,0,0,0
108,O=C(O)Cc1ccccc1O,0,0,0
109,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,0,0,0
110,CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,0,0,0
111,Cn1cncc1CCN,0,0,0
112,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0,0,0
113,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)nc(N)[nH]c32)O[C@@H]1CO,0,0,0
114,Cc1nc(C)c(C)nc1C,0,0,0
115,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,0,0,0
116,CC(C)(N)Cc1ccccc1,0,0,0
117,CCCCCCCCCCN,0,0,0
118,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,0,0,0
119,CC(=O)c1cccc2oc(=O)[nH]c12,0,0,0
120,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0,0,0
121,CNCCC=C1c2ccccc2CCc2ccccc21,0,0,0
122,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,0,0,0
123,CCO[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,0,0,0
124,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,0,0
